Series,Market,Body Model,Seq,CPOS,Brand,Format,Font,Description1,unknown2,Special,Description2
H,C,BAFH27,1,,A16,S,A29,Durga GitHub,,89D,
H,C,BAFS27,1,,A16,S,A29,124 SPIDER,,89D,
H,C,BAFX27,1,,A16,S,A29,124 SPIDER,,89E,
H,C,BFF,1,,A16,S,A29,FIAT 500L,,89A,
H,C,BFFH44,1,23D,A16,S,A29,FIAT 500L SPORT,,89A,
H,C,BFFH44,2,,A16,S,A29,FIAT 500L SPORT,,89A,
H,C,BFFM44,1,23G,A16,S,A29,FIAT 500L TREKKING,,89A,
H,C,BFFM44,2,,A16,S,A29,FIAT 500L TREKKING,,89A,
H,C,BFFP44,1,23J,A16,S,A29,FIAT 500L LOUNGE,,89A,
H,C,BFFP44,2,,A16,S,A29,FIAT 500L LOUNGE,,89A,
H,C,BUJ,1,,A08,B,C29,RENEGADE 4X4,,,
H,C,BUJH74,1,27E,A08,B,C29,RENEGADE TRAILHAWK 4X4,,,
H,C,BUJH74,2,,A08,B,C29,RENEGADE TRAILHAWK 4X4,,,
H,C,BUJL74,1,21A,A08,B,C29,RENEGADE SPORT 4X4,,,
H,C,BUJL74,2,27A,A08,B,C29,RENEGADE SPORT 4X4,,,
H,C,BUJL74,3,,A08,B,C29,RENEGADE SPORT 4X4,,,
H,C,BUJM74,1,21J,A08,B,C29,RENEGADE NORTH 4X4,,,
H,C,BUJM74,2,27J,A08,B,C29,RENEGADE NORTH 4X4,,,
H,C,BUJM74,3,,A08,B,C29,RENEGADE NORTH 4X4,,,
H,C,BUJP74,1,27G,A08,B,C29,RENEGADE LIMITED 4X4,,,
H,C,BUJP74,2,,A08,B,C29,RENEGADE LIMITED 4X4,,,
H,C,BUT,1,,A08,B,C29,RENEGADE 4X2                  Y,,,
H,C,BUTL74,1,21A,A08,B,C29,RENEGADE SPORT 4X2,,,
H,C,BUTL74,2,27A,A08,B,C29,RENEGADE SPORT 4X2,,,
H,C,BUTL74,3,,A08,B,C29,RENEGADE SPORT 4X2,,,
H,C,BUTM74,1,21J,A08,B,C29,RENEGADE NORTH 4X2,,,
H,C,BUTM74,2,27J,A08,B,C29,RENEGADE NORTH 4X2,,,
H,C,BUTM74,3,,A08,B,C29,RENEGADE NORTH 4X2,,,
H,C,BUTP74,1,27G,A08,B,C29,RENEGADE LIMITED 4X2,,,
H,C,BUTP74,2,,A08,B,C29,RENEGADE LIMITED 4X2,,,
H,C,DD3,1,,A14,B,A19,RAM 3500 CHASSIS CAB 4X2,,,
H,C,DD3L63,1,2TA,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X2
H,C,DD3L63,2,2TG,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,SLT 4X2
H,C,DD3L63,3,,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X2
H,C,DD3L64,1,2TA,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X2
H,C,DD3L64,2,2TG,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,SLT 4X2
H,C,DD3L64,3,,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X2
H,C,DD3L93,1,2TA,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,ST 4X2
H,C,DD3L93,2,2TG,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,SLT 4X2
H,C,DD3L93,3,2TH,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,LARAMIE 4X2
H,C,DD3L93,4,,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,ST 4X2
H,C,DD8,1,,A14,B,A19,RAM 3500 CHASSIS CAB 4X4,,,
H,C,DD8L63,1,2TA,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X4
H,C,DD8L63,2,2TG,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,SLT 4X4
H,C,DD8L63,3,,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X4
H,C,DD8L64,1,2TA,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X4
H,C,DD8L64,2,2TG,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,SLT 4X4
H,C,DD8L64,3,,A14,2,A19,RAM 3500 REG CHASSIS CAB,,,ST 4X4
H,C,DD8L93,1,2TA,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,ST 4X4
H,C,DD8L93,2,2TG,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,SLT 4X4
